Jersey No.,Date,Activity Title,Position,Age,Height (cm),Weight (kg),Duration (min),Total Distance (m),Distance/min (m/min),RPE,Injury,Training Load
47406,17/10/2022,Recovery,CB,30,189,86,40,1911.5,47.7,2.0,0,91.18
47407,17/10/2022,Recovery,CB,24,188,89,55,5096.5,92.6,4.0,0,471.94
47409,17/10/2022,Recovery,CM,32,186,78,55,5688.5,103.4,6.0,0,588.19
47410,17/10/2022,Recovery,WF,29,185,80,40,2552.5,63.8,4.0,0,162.85
47411,17/10/2022,Recovery,CAM,25,186,84,40,2241.8,56.0,2.0,0,125.54
47413,17/10/2022,Recovery,WF,26,166,65,40,2639.7,65.9,2.0,0,173.96
47414,17/10/2022,Recovery,CM,30,186,80,40,2611.7,65.2,1.0,0,170.28
47415,17/10/2022,Recovery,CM,27,178,75,40,2169.7,54.2,2.0,0,117.6
47416,17/10/2022,Recovery,FB,23,180,82,55,5365.1,97.5,4.0,0,523.1
47420,17/10/2022,Recovery,WF,27,164,65,55,5490.5,99.8,6.0,0,547.95
47422,17/10/2022,Recovery,FB,34,173,86,55,5360.8,97.4,5.0,0,522.14
47423,17/10/2022,Recovery,CB,36,173,78,55,5783.5,105.1,5.0,0,607.85
47425,17/10/2022,Recovery,FB,30,173,72,40,2322.5,58.0,4.0,0,134.71
47426,17/10/2022,Recovery,CF,23,188,82,40,2562.6,64.0,4.0,0,164.01
47427,17/10/2022,Recovery,CDM,30,181,76,40,2546.7,63.6,4.0,0,161.97
47407,19/10/2022,Endurance ,CB,24,188,89,79,5774.8,72.8,4.0,0,420.41
47409,19/10/2022,Endurance ,CM,32,186,78,79,6649.9,83.8,7.0,0,557.26
47410,19/10/2022,Endurance,WF,29,185,80,79,5838.1,73.9,7.0,1,431.44
47411,19/10/2022,Endurance ,CAM,25,186,84,79,6500.6,81.9,3.0,0,532.4
47413,19/10/2022,Endurance ,WF,26,166,65,27,1617.2,59.9,2.0,0,96.87
47414,19/10/2022,Endurance ,CM,30,186,80,79,6660.2,83.9,3.0,0,558.79
47415,19/10/2022,Endurance ,CM,27,178,75,79,6207.3,78.2,4.0,0,485.41
47416,19/10/2022,Endurance ,FB,23,180,82,79,5927.8,74.7,4.0,0,442.81
47420,19/10/2022,Endurance ,WF,27,164,65,79,6126.7,77.7,7.0,0,476.04
47422,19/10/2022,Endurance ,FB,34,173,86,27,1800.1,66.7,4.0,0,120.07
47423,19/10/2022,Endurance ,CB,36,173,78,79,5914.6,74.5,4.0,0,440.64
47425,19/10/2022,Endurance ,FB,30,173,72,79,6101.8,76.9,7.0,0,469.23
47406,20/10/2022,Speed,CB,30,189,86,67,3642.4,54.4,3.0,0,198.15
47407,20/10/2022,Speed,CB,24,188,89,68,3754.8,55.4,3.0,0,208.02
47409,20/10/2022,Speed,CM,32,186,78,68,4051.3,59.8,5.0,0,242.27
47413,20/10/2022,Speed,WF,26,166,65,68,4024.4,59.4,3.0,0,239.05
47414,20/10/2022,Speed,CM,30,186,80,68,4336.3,64.0,3.0,0,277.52
47415,20/10/2022,Speed,CM,27,178,75,67,3868.1,57.7,3.0,0,223.19
47416,20/10/2022,Speed,FB,23,180,82,68,4240.9,62.6,3.0,0,265.48
47420,20/10/2022,Speed,WF,27,164,65,68,3805.1,56.1,7.0,0,213.47
47422,20/10/2022,Speed,FB,34,173,86,68,4134.3,61.0,4.0,0,252.19
47425,20/10/2022,Speed,FB,30,173,72,68,3543.3,52.3,6.0,0,185.31
47426,20/10/2022,Speed,CF,23,188,82,68,3515.4,51.9,6.0,0,182.45
47406,21/10/2022,Activation ,CB,30,189,86,60,3295.4,54.9,2.0,0,180.92
47407,21/10/2022,Activation ,CB,24,188,89,60,3698.4,61.6,3.0,0,227.82
47409,21/10/2022,Activation ,CM,32,186,78,60,3800.7,63.3,5.0,0,240.58
47410,21/10/2022,Activation ,WF,29,185,80,60,3336.0,55.6,5.0,0,185.48
47411,21/10/2022,Activation ,CAM,25,186,84,60,3874.4,64.6,3.0,0,250.29
47413,21/10/2022,Activation ,WF,26,166,65,60,3735.2,62.3,3.0,0,232.7
47414,21/10/2022,Activation ,CM,30,186,80,60,3736.4,62.3,2.0,0,232.78
47415,21/10/2022,Activation ,CM,27,178,75,60,3457.7,57.6,2.0,0,199.16
47416,21/10/2022,Activation ,FB,23,180,82,60,3693.1,61.6,2.0,0,227.49
47420,21/10/2022,Activation ,WF,27,164,65,60,3772.7,62.9,5.0,0,237.3
47422,21/10/2022,Activation ,FB,34,173,86,60,3390.5,56.5,2.0,0,191.56
47423,21/10/2022,Activation ,CB,36,173,78,60,3383.3,56.4,2.0,0,190.82
47425,21/10/2022,Activation ,FB,30,173,72,60,3518.7,58.6,5.0,0,206.2
47426,21/10/2022,Activation ,CF,23,188,82,60,2378.2,39.6,6.0,0,94.18
47406,24/10/2022,Recovery,CB,30,189,86,40,2061.4,51.5,3.0,0,106.16
47407,24/10/2022,Recovery,CB,24,188,89,55,5568.3,101.2,5.0,0,563.51
47409,24/10/2022,Recovery,CM,32,186,78,40,1842.8,46.0,3.0,0,84.77
47410,24/10/2022,Recovery,WF,29,185,80,40,2228.9,55.7,4.0,0,124.15
47411,24/10/2022,Recovery,CAM,25,186,84,40,2102.8,52.5,2.0,0,110.4
47413,24/10/2022,Recovery,WF,26,166,65,40,2787.2,69.6,2.0,0,193.99
47414,24/10/2022,Recovery,CM,30,186,80,40,2361.5,59.0,1.0,0,139.33
47415,24/10/2022,Recovery,CM,27,178,75,40,2681.3,67.0,2.0,0,179.65
47416,24/10/2022,Recovery,FB,23,180,82,55,5193.4,94.4,5.0,0,490.26
47420,24/10/2022,Recovery,WF,27,164,65,55,5404.4,98.2,6.0,0,530.71
47422,24/10/2022,Recovery,FB,34,173,86,55,5033.1,91.5,5.0,0,460.53
47423,24/10/2022,Recovery,CB,36,173,78,55,5804.5,105.5,6.0,0,612.37
47425,24/10/2022,Recovery,FB,30,173,72,40,1942.9,48.5,2.0,0,94.23
47426,24/10/2022,Recovery,CF,23,188,82,40,2025.9,50.6,3.0,0,102.51
47427,24/10/2022,Recovery,CDM,30,181,76,55,5398.5,98.1,5.0,0,529.59
47406,25/10/2022,Strength ,CB,30,189,86,64,3680.4,57.6,4.0,0,211.99
47407,25/10/2022,Strength ,CB,24,188,89,64,4199.9,65.8,5.0,0,276.35
47409,25/10/2022,Strength ,CM,32,186,78,64,4011.6,62.8,7.0,0,251.93
47410,25/10/2022,Strength ,WF,29,185,80,64,3974.1,62.2,7.0,0,247.19
47411,25/10/2022,Strength ,CAM,25,186,84,64,3783.9,59.2,4.0,0,224.01
47413,25/10/2022,Strength ,WF,26,166,65,63,3813.2,60.6,3.0,0,231.08
47414,25/10/2022,Strength ,CM,30,186,80,64,4149.7,65.0,4.0,0,269.73
47416,25/10/2022,Strength ,FB,23,180,82,62,3957.4,64.1,3.0,0,253.67
47420,25/10/2022,Strength ,WF,27,164,65,62,3661.2,59.2,6.0,0,216.74
47423,25/10/2022,Strength ,CB,36,173,78,62,3714.7,59.9,4.0,0,222.51
47425,25/10/2022,Strength ,FB,30,173,72,64,3972.1,62.2,7.0,0,247.06
47426,25/10/2022,Strength ,CF,23,188,82,61,3640.0,59.7,7.0,0,217.31
47427,25/10/2022,Strength ,CDM,30,181,76,63,4052.1,64.7,6.0,0,262.17
47406,26/10/2022,Endurance,CB,30,189,86,78,5118.6,66.0,3.0,0,337.83
47407,26/10/2022,Endurance,CB,24,188,89,78,5873.0,75.7,6.0,0,444.59
47409,26/10/2022,Endurance,CM,32,186,78,78,6560.0,84.1,8.0,1,551.7
47410,26/10/2022,Endurance,WF,29,185,80,78,5942.4,76.6,8.0,0,455.19
47411,26/10/2022,Endurance,CAM,25,186,84,78,6274.0,80.9,5.0,0,507.57
47414,26/10/2022,Endurance,CM,30,186,80,78,6605.4,85.1,4.0,0,562.12
47415,26/10/2022,Endurance,CM,27,178,75,78,6643.6,85.6,4.0,0,568.69
47420,26/10/2022,Endurance,WF,27,164,65,78,6261.2,80.7,6.0,0,505.28
47423,26/10/2022,Endurance,CB,36,173,78,78,5612.1,72.3,4.0,0,405.75
47425,26/10/2022,Endurance,FB,30,173,72,78,5800.9,74.8,8.0,0,433.91
47426,26/10/2022,Endurance,CF,23,188,82,78,5665.9,73.0,8.0,0,413.61
47406,28/10/2022,Speed,CB,30,189,86,63,3662.8,58.1,3.0,0,212.81
47407,28/10/2022,Speed,CB,24,188,89,63,3820.8,60.6,3.0,0,231.54
47413,28/10/2022,Speed,WF,26,166,65,63,4011.6,63.6,4.0,0,255.14
47414,28/10/2022,Speed,CM,30,186,80,63,3966.5,62.9,4.0,0,249.49
47415,28/10/2022,Speed,CM,27,178,75,63,3654.8,58.0,3.0,0,211.98
47416,28/10/2022,Speed,FB,23,180,82,63,3581.4,56.8,3.0,0,203.42
47420,28/10/2022,Speed,WF,27,164,65,63,3691.3,58.5,5.0,0,215.94
47422,28/10/2022,Speed,FB,34,173,86,63,3762.6,59.7,5.0,0,224.63
47425,28/10/2022,Speed,FB,30,173,72,63,3913.9,62.1,6.0,0,243.05
47426,28/10/2022,Speed,CF,23,188,82,63,3850.0,61.1,6.0,0,235.24
47406,29/10/2022,Activation ,CB,30,189,86,52,3413.8,65.6,3.0,0,223.95
47407,29/10/2022,Activation ,CB,24,188,89,52,3425.3,65.8,2.0,0,225.38
47409,29/10/2022,Activation ,CM,32,186,78,52,3416.7,65.7,5.0,0,224.48
47410,29/10/2022,Activation ,WF,29,185,80,52,3186.3,61.2,5.0,0,195.0
47411,29/10/2022,Activation ,CAM,25,186,84,52,3193.5,61.4,3.0,0,196.08
47413,29/10/2022,Activation ,WF,26,166,65,52,3706.3,71.2,3.0,0,263.89
47414,29/10/2022,Activation ,CM,30,186,80,52,3646.5,70.1,3.0,0,255.62
47415,29/10/2022,Activation ,CM,27,178,75,52,3667.9,70.5,3.0,0,258.59
47416,29/10/2022,Activation ,FB,23,180,82,52,3718.6,71.5,4.0,0,265.88
47420,29/10/2022,Activation ,WF,27,164,65,52,3401.3,65.4,6.0,0,222.45
47422,29/10/2022,Activation ,FB,34,173,86,52,3420.8,65.7,4.0,0,224.75
47425,29/10/2022,Activation ,FB,30,173,72,52,3684.8,70.8,6.0,0,260.88
47426,29/10/2022,Activation ,CF,23,188,82,52,3416.8,65.7,6.0,0,224.48
47427,29/10/2022,Activation ,CDM,30,181,76,52,3549.1,68.2,7.0,0,242.05
47406,01/11/2022,Strength,CB,30,189,86,63,4175.3,65.8,3.0,0,274.73
47407,01/11/2022,Strength,CB,24,188,89,63,4393.5,69.4,3.0,0,304.91
47409,01/11/2022,Strength,CM,32,186,78,63,4618.3,72.7,5.0,0,335.75
47410,01/11/2022,Strength,WF,29,185,80,63,4674.8,73.6,4.0,0,344.07
47411,01/11/2022,Strength,CAM,25,186,84,63,3969.2,62.6,3.0,0,248.47
47413,01/11/2022,Strength,WF,26,166,65,63,4106.2,64.7,2.0,0,265.67
47414,01/11/2022,Strength,CM,30,186,80,63,4646.4,73.2,2.0,0,340.12
47415,01/11/2022,Strength,CM,27,178,75,63,4254.3,67.0,2.0,0,285.04
47416,01/11/2022,Strength,FB,23,180,82,63,5122.6,80.7,3.0,0,413.39
47420,01/11/2022,Strength,WF,27,164,65,63,5099.0,80.3,5.0,0,409.45
47422,01/11/2022,Strength,FB,34,173,86,63,2760.4,43.5,4.0,0,120.08
47423,01/11/2022,Strength,CB,36,173,78,63,4364.0,68.7,5.0,0,299.81
47425,01/11/2022,Strength,FB,30,173,72,63,4475.2,70.5,5.0,0,315.5
47426,01/11/2022,Strength,CF,23,188,82,63,4093.9,64.5,5.0,0,264.06
47427,01/11/2022,Strength,CDM,30,181,76,62,4751.2,76.3,5.0,0,362.52
47406,02/11/2022,Endurance ,CB,30,189,86,96,4226.7,44.1,4.0,0,186.4
47407,02/11/2022,Endurance ,CB,24,188,89,96,5669.3,59.2,4.0,0,335.62
47409,02/11/2022,Endurance ,CM,32,186,78,96,5993.8,62.6,7.0,0,375.21
47410,02/11/2022,Endurance,WF,29,185,80,96,6090.1,63.4,8.0,1,386.11
47411,02/11/2022,Endurance ,CAM,25,186,84,96,5798.3,60.5,4.0,0,350.8
47413,02/11/2022,Endurance ,WF,26,166,65,96,5449.4,56.9,4.0,0,310.07
47414,02/11/2022,Endurance ,CM,30,186,80,96,6242.1,65.2,4.0,0,406.98
47415,02/11/2022,Endurance ,CM,27,178,75,96,5553.7,58.0,4.0,0,322.11
47416,02/11/2022,Endurance ,FB,23,180,82,96,6094.8,63.6,4.0,0,387.63
47420,02/11/2022,Endurance ,WF,27,164,65,96,5907.4,61.7,6.0,0,364.49
47423,02/11/2022,Endurance ,CB,36,173,78,96,5183.8,54.1,4.0,0,280.44
47425,02/11/2022,Endurance ,FB,30,173,72,96,5711.1,59.6,7.0,0,340.38
